image_path,colors,predictions
shadows+043.jpg,"[[0.14431412 0.1384988  0.14229786]
 [0.36618553 0.35136689 0.34866989]
 [0.26066533 0.24530929 0.24758091]
 [0.48059475 0.46775861 0.46552872]
 [0.72831169 0.74856634 0.78626942]]","['spotlight', 'matchstick', 'digital_clock']"
soiree_28_01_2023+117.jpg,"[[0.116477   0.11061822 0.11233399]
 [0.48609126 0.61810519 0.8043797 ]
 [0.24654845 0.30652293 0.43472645]
 [0.14857998 0.17053493 0.22182934]
 [0.8420915  0.87263952 0.92241327]]","['spotlight', 'matchstick', 'digital_clock']"
testing_shadows+025.jpg,"[[0.5517243  0.55518269 0.55874622]
 [0.13186158 0.0887353  0.05230193]
 [0.53657774 0.71906386 0.88006536]
 [0.47106762 0.48144137 0.49359265]
 [0.30900868 0.21737704 0.10906972]]","['spotlight', 'matchstick', 'digital_clock']"
testing_shadows+045.jpg,"[[0.52847545 0.58553906 0.63724162]
 [0.15647341 0.17105791 0.20542103]
 [0.75073073 0.79998482 0.83623262]
 [0.29030418 0.30536067 0.33371716]
 [0.03212116 0.03950808 0.05360123]]","['spotlight', 'matchstick', 'digital_clock']"
testing_shadows+071.jpg,"[[0.60998477 0.77432261 0.91369905]
 [0.32338462 0.28500569 0.23460773]
 [0.67302755 0.69138381 0.7101683 ]
 [0.09300635 0.07804531 0.05943232]
 [0.51956346 0.54360522 0.56751195]]","['spotlight', 'digital_clock', 'theater_curtain']"
Nantes_16_06+070.jpg,"[[0.15122881 0.13158137 0.08849328]
 [0.7429922  0.6657074  0.57880894]
 [0.49037364 0.47703122 0.4610116 ]
 [0.3045048  0.27498376 0.2282374 ]
 [0.80410975 0.78247239 0.77322234]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_16_06+146.jpg,"[[0.2883574  0.2883574  0.2883574 ]
 [0.43149731 0.43149731 0.43149731]
 [0.07247083 0.07247083 0.07247083]
 [0.59149295 0.59149295 0.59149295]
 [0.18129965 0.18129965 0.18129965]]","['spotlight', 'matchstick', 'digital_clock']"
Nantes_16_06+162.jpg,"[[0.06113338 0.0990594  0.14661769]
 [0.60390803 0.51316457 0.40594106]
 [0.13904796 0.5895281  0.83723234]
 [0.47659607 0.34154625 0.18518264]
 [0.17999228 0.2446451  0.31257518]]","['spotlight', 'matchstick', 'digital_clock']"
Nantes_16_06+184.jpg,"[[0.73814484 0.66196243 0.57017758]
 [0.04758618 0.0752438  0.04402384]
 [0.65160148 0.54374688 0.4211169 ]
 [0.23127346 0.24732394 0.2405091 ]
 [0.78646978 0.75127622 0.71458571]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_16_06+194.jpg,"[[0.0356766  0.1061841  0.09242315]
 [0.95526213 0.9003813  0.83906697]
 [0.45761927 0.41227376 0.34720439]
 [0.18938779 0.23141999 0.2077957 ]
 [0.64869606 0.59942334 0.53467841]]","['spotlight', 'theater_curtain', 'digital_clock']"
Nantes_16_06+274.jpg,"[[0.05688208 0.07918524 0.10509766]
 [0.36348741 0.36387203 0.36531358]
 [0.10381223 0.36942197 0.66503389]
 [0.5921417  0.59396932 0.59448252]
 [0.1107519  0.16564176 0.21898907]]","['spotlight', 'digital_clock', 'matchstick']"
urbain+041.jpg,"[[0.60260484 0.65458796 0.72304096]
 [0.22428883 0.27016803 0.30434028]
 [0.41501862 0.45373266 0.49072812]
 [0.09221824 0.12456768 0.10448135]
 [0.24084655 0.35768611 0.58358222]]","['spotlight', 'digital_clock', 'theater_curtain']"
golden_cube-2.jpg,"[[0.42406988 0.33742318 0.25153446]
 [0.39693063 0.59967428 0.73237713]
 [0.83526231 0.63862931 0.46296163]
 [0.14693928 0.29674406 0.43005559]
 [0.06630822 0.11726871 0.19440968]]","['spotlight', 'digital_clock', 'theater_curtain']"
leaf2.jpg,"[[0.16779588 0.30469355 0.20331679]
 [0.51431085 0.67020554 0.58713351]
 [0.94035699 0.86183161 0.74196277]
 [0.31599381 0.53333616 0.43333293]
 [0.19211624 0.43336666 0.33205349]]","['spotlight', 'theater_curtain', 'digital_clock']"
Paris_25-06+105.jpg,"[[0.11737007 0.31827939 0.4276897 ]
 [0.5218143  0.74437491 0.85693228]
 [0.65303413 0.45515868 0.14131811]
 [0.07192037 0.07251521 0.05827953]
 [0.1340495  0.1430125  0.12115983]]","['spotlight', 'digital_clock', 'theater_curtain']"
Paris_25-06+275.jpg,"[[0.31155304 0.31270242 0.28402302]
 [0.12557801 0.141217   0.12048826]
 [0.74498999 0.60153626 0.42097569]
 [0.46111572 0.31285169 0.13983093]
 [0.6043674  0.44447324 0.26185253]]","['spotlight', 'matchstick', 'digital_clock']"
things+028.jpg,"[[0.05724955 0.13442661 0.1462093 ]
 [0.64171918 0.45478771 0.64184617]
 [0.78005579 0.58712444 0.77601868]
 [0.27894049 0.24099706 0.32942764]
 [0.47607086 0.34305396 0.48917504]]","['spotlight', 'digital_clock', 'matchstick']"
things+032.jpg,"[[0.22511723 0.33928516 0.48430591]
 [0.70896563 0.78817551 0.87375863]
 [0.06862701 0.12116295 0.18126362]
 [0.52447279 0.63476985 0.75837692]
 [0.36468378 0.49531412 0.65160101]]","['spotlight', 'digital_clock', 'matchstick']"
water.jpg,"[[0.80028757 0.91647093 0.55864997]
 [0.54591561 0.60170435 0.02384431]
 [0.67257568 0.72094078 0.10036973]
 [0.43882308 0.48659313 0.0094683 ]
 [0.70655437 0.79855276 0.32540774]]","['spotlight', 'matchstick', 'digital_clock']"
weekend_BFS+052.jpg,"[[0.21189079 0.40578208 0.65309605]
 [0.10814114 0.19958698 0.27284377]
 [0.67725446 0.56988559 0.38156542]
 [0.04721222 0.07319467 0.09885445]
 [0.55000919 0.43634413 0.25883713]]","['spotlight', 'matchstick', 'digital_clock']"
weekend_BFS+062.jpg,"[[0.16833142 0.244985   0.38852807]
 [0.06300877 0.06432    0.07074434]
 [0.38923036 0.49577516 0.65696197]
 [0.1298652  0.15181679 0.18990809]
 [0.26183219 0.3470741  0.51654826]]","['spotlight', 'matchstick', 'digital_clock']"
weekend_BFS+115.jpg,"[[0.12328793 0.17363996 0.22774858]
 [0.01689655 0.02810749 0.03856925]
 [0.40439852 0.52102544 0.72351616]
 [0.05588713 0.09202057 0.13466447]
 [0.20092028 0.25838411 0.37375475]]","['spotlight', 'digital_clock', 'matchstick']"
weekend_BFS+137.jpg,"[[0.36947109 0.43060856 0.50986553]
 [0.08683226 0.13816466 0.23833252]
 [0.6444564  0.71531406 0.79290566]
 [0.01984087 0.03557277 0.06158597]
 [0.24354067 0.29590178 0.36910563]]","['spotlight', 'digital_clock', 'matchstick']"
weekend_BFS+166.jpg,"[[0.03011724 0.03998555 0.0440207 ]
 [0.21318092 0.2540776  0.31675846]
 [0.60223005 0.66427594 0.75614577]
 [0.13595213 0.15160586 0.15578089]
 [0.39589557 0.45118302 0.56476025]]","['spotlight', 'digital_clock', 'matchstick']"
weekend_BFS+215.jpg,"[[0.18096251 0.23574092 0.36357081]
 [0.01544759 0.03472016 0.06596932]
 [0.32580302 0.38987285 0.52162801]
 [0.08020113 0.13304656 0.23119339]
 [0.5522853  0.66056159 0.84336681]]","['spotlight', 'matchstick', 'digital_clock']"
weekend_BFS+247.jpg,"[[0.16805641 0.21851444 0.28126495]
 [0.01605752 0.02472576 0.03320546]
 [0.30890463 0.36385059 0.43499097]
 [0.07222043 0.10348616 0.13331417]
 [0.48780379 0.54707447 0.62475462]]","['spotlight', 'digital_clock', 'matchstick']"
356229837_293094976465399_6294772000111133157_n.jpg,"[[0.39817827 0.36880406 0.0303677 ]
 [0.02389798 0.02037585 0.00399199]
 [0.63694953 0.6774395  0.68155853]
 [0.64746729 0.60812894 0.16319214]
 [0.2102147  0.18832751 0.01591651]]","['spotlight', 'digital_clock', 'theater_curtain']"
silhouette+015.jpg,"[[0.3350632  0.31405398 0.27186923]
 [0.01325592 0.01244079 0.00995748]
 [0.38219367 0.39034524 0.38385853]
 [0.17253329 0.14894239 0.10705275]
 [0.26824345 0.23982435 0.18919172]]","['spotlight', 'matchstick', 'digital_clock']"
silhouette+024.jpg,"[[0.26956805 0.22382675 0.15445937]
 [0.02026078 0.01664338 0.00872603]
 [0.21363107 0.15291588 0.06520474]
 [0.2787658  0.32020764 0.34469527]
 [0.11589612 0.07418924 0.01819834]]","['spotlight', 'matchstick', 'digital_clock']"
silhouette+051.jpg,"[[0.02256204 0.01683617 0.01669601]
 [0.25930404 0.2044831  0.11875181]
 [0.03548692 0.27832224 0.69225508]
 [0.13347148 0.09081882 0.03340759]
 [0.01344674 0.06991669 0.26431943]]","['spotlight', 'matchstick', 'digital_clock']"
silhouette+058.jpg,"[[0.03591976 0.13768106 0.66335895]
 [0.05821192 0.05056446 0.05812666]
 [0.03523654 0.07450569 0.43006056]
 [0.0689254  0.27389121 0.8676882 ]
 [0.0412214  0.0552427  0.20179603]]","['spotlight', 'digital_clock', 'matchstick']"
silhouette+067.jpg,"[[0.0083217  0.00862425 0.01174669]
 [0.01377088 0.12888122 0.34787481]
 [0.01430888 0.05237165 0.1648888 ]
 [0.03023181 0.17910075 0.45410344]
 [0.14919724 0.33729589 0.66044955]]","['spotlight', 'matchstick', 'digital_clock']"
sky+016.jpg,"[[0.03789015 0.01889295 0.0065025 ]
 [0.26848396 0.16767108 0.15946218]
 [0.18102015 0.11180062 0.07497058]
 [0.38728856 0.24241458 0.27670517]
 [0.10954141 0.06422922 0.026891  ]]","['spotlight', 'matchstick', 'digital_clock']"
Voyage_nantes+075.jpg,"[[0.21950967 0.35515668 0.63403756]
 [0.15056019 0.15155655 0.12801719]
 [0.39108592 0.36893337 0.33249771]
 [0.57121276 0.57215191 0.59446531]
 [0.73195067 0.72359454 0.72398532]]","['spotlight', 'digital_clock', 'matchstick']"
Voyage_nantes+076.jpg,"[[0.30775911 0.30028155 0.2952711 ]
 [0.94918026 0.89782051 0.84900884]
 [0.68672151 0.68410344 0.68343571]
 [0.08985296 0.08409654 0.07432243]
 [0.4727242  0.46067858 0.45867713]]","['spotlight', 'digital_clock', 'matchstick']"
Voyage_nantes+079.jpg,"[[0.64981032 0.6554152  0.73641798]
 [0.46045513 0.47838887 0.55756114]
 [0.0972414  0.08342196 0.30252752]
 [0.90779046 0.90248996 0.91054561]
 [0.2962812  0.31800858 0.39995598]]","['spotlight', 'digital_clock', 'matchstick']"
Voyage_nantes+089.jpg,"[[0.50762576 0.50267589 0.49555937]
 [0.33976368 0.35724636 0.36355933]
 [0.73812017 0.74572044 0.74307204]
 [0.61745934 0.62777144 0.62988573]
 [0.10287498 0.12393286 0.13652954]]","['spotlight', 'digital_clock', 'theater_curtain']"
Voyage_nantes+120.jpg,"[[0.78477579 0.84049331 0.86406111]
 [0.29440763 0.29064307 0.28204545]
 [0.8611648  0.6302189  0.21161824]
 [0.09553365 0.1042299  0.10634485]
 [0.6205486  0.51364573 0.39992321]]","['spotlight', 'matchstick', 'digital_clock']"
Voyage_nantes+130.jpg,"[[0.10494116 0.09931156 0.0843278 ]
 [0.65822998 0.63416264 0.60936672]
 [0.33371303 0.32827211 0.3206494 ]
 [0.79004986 0.80018982 0.79248535]
 [0.50445486 0.49521662 0.48288415]]","['spotlight', 'digital_clock', 'matchstick']"
Voyage_nantes+144.jpg,"[[0.07210527 0.09953258 0.07027321]
 [0.34866394 0.45787726 0.4649933 ]
 [0.72143027 0.72668406 0.65430108]
 [0.22026574 0.25438394 0.22646633]
 [0.58042699 0.4593748  0.15808633]]","['spotlight', 'digital_clock', 'matchstick']"
Voyage_nantes+167.jpg,"[[0.17674235 0.6604992  0.70041684]
 [0.05201996 0.1597212  0.12501379]
 [0.89233954 0.82705314 0.74227933]
 [0.22631751 0.26437234 0.61684141]
 [0.11651385 0.40586724 0.3762148 ]]","['spotlight', 'digital_clock', 'matchstick']"
Voyage_nantes+168.jpg,"[[0.2079886  0.27435478 0.24977696]
 [0.44304651 0.59930153 0.61365111]
 [0.28363612 0.43650118 0.41235618]
 [0.1088067  0.10641647 0.07762619]
 [0.78048023 0.87131595 0.9018164 ]]","['spotlight', 'digital_clock', 'matchstick']"
Voyage_nantes+169.jpg,"[[0.74248973 0.73532876 0.73703775]
 [0.51613532 0.48447445 0.47417675]
 [0.15556482 0.23316914 0.21004022]
 [0.32192639 0.37920774 0.35697113]
 [0.62159999 0.59916072 0.59375826]]","['spotlight', 'digital_clock', 'matchstick']"
Voyage_nantes+170.jpg,"[[0.08397185 0.15737377 0.15691102]
 [0.97770211 0.88013332 0.77017187]
 [0.49991237 0.53326141 0.46625232]
 [0.16026917 0.3965294  0.36602406]
 [0.88931415 0.76282549 0.61815604]]","['spotlight', 'digital_clock', 'matchstick']"
Voyage_nantes+173.jpg,"[[0.56557462 0.56058013 0.56355228]
 [0.13493196 0.13184011 0.14968379]
 [0.82247047 0.8308043  0.83481233]
 [0.36892362 0.36345055 0.3674963 ]
 [0.69184804 0.68938415 0.69651348]]","['spotlight', 'digital_clock', 'theater_curtain']"
Voyage_nantes+177.jpg,"[[0.18086348 0.16633022 0.15980698]
 [0.61313905 0.60049217 0.60187516]
 [0.07234929 0.06489417 0.0668686 ]
 [0.8487322  0.80735027 0.73836772]
 [0.32557261 0.32552907 0.32286649]]","['spotlight', 'digital_clock', 'matchstick']"
Voyage_nantes+183.jpg,"[[0.39505801 0.40252304 0.38651055]
 [0.08111687 0.08973077 0.07922991]
 [0.32816848 0.6762571  0.76328343]
 [0.22676915 0.26174541 0.24409234]
 [0.8288009  0.89332325 0.93424716]]","['spotlight', 'digital_clock', 'matchstick']"
Voyage_nantes+188.jpg,"[[0.36872155 0.39290774 0.42906307]
 [0.81373675 0.60903095 0.31785492]
 [0.1037871  0.1102016  0.16743441]
 [0.63922299 0.78163768 0.88296962]
 [0.27929366 0.28183618 0.30831436]]","['spotlight', 'matchstick', 'digital_clock']"
Nantes_01_2024 006.jpg,"[[0.06436491 0.09147216 0.10203631]
 [0.89789127 0.87315059 0.85593425]
 [0.39055054 0.37864467 0.39828742]
 [0.67864649 0.64014037 0.62514973]
 [0.17068115 0.21799069 0.24682401]]","['spotlight', 'digital_clock', 'theater_curtain']"
Nantes_01_2024 008.jpg,"[[0.41673451 0.43947206 0.42718142]
 [0.93283689 0.9118521  0.89015643]
 [0.06249805 0.07879119 0.0875334 ]
 [0.23363121 0.26757342 0.27473325]
 [0.74638748 0.71110505 0.65246591]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_01_2024 016.jpg,"[[0.17964398 0.21978122 0.25031784]
 [0.60982657 0.56492756 0.52359187]
 [0.07217209 0.09623578 0.10653561]
 [0.32679179 0.3546234  0.37701001]
 [0.83300166 0.76800732 0.70747631]]","['spotlight', 'digital_clock', 'theater_curtain']"
Nantes_01_2024 018.jpg,"[[0.06368875 0.08662342 0.10028887]
 [0.772478   0.75521692 0.73848172]
 [0.45384129 0.44007063 0.42277121]
 [0.63582296 0.61884835 0.6036619 ]
 [0.24181887 0.2593099  0.27428316]]","['spotlight', 'matchstick', 'digital_clock']"
Nantes_01_2024 025.jpg,"[[0.04255243 0.05844949 0.06638848]
 [0.70766626 0.66256822 0.63296611]
 [0.25832092 0.30102599 0.31507278]
 [0.43240777 0.45641429 0.47318734]
 [0.13154039 0.16214521 0.18353944]]","['spotlight', 'digital_clock', 'theater_curtain']"
Nantes_01_2024 027.jpg,"[[0.07689204 0.08412592 0.0962938 ]
 [0.87887717 0.8573313  0.83631803]
 [0.35068598 0.36771269 0.39120616]
 [0.56199503 0.55612197 0.55724375]
 [0.20553664 0.21996668 0.2412865 ]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_01_2024 036.jpg,"[[0.28089029 0.26927826 0.25654458]
 [0.63234593 0.63073506 0.6316196 ]
 [0.80883474 0.83821607 0.86284362]
 [0.0712919  0.07826062 0.06943061]
 [0.48669174 0.46575054 0.44809623]]","['spotlight', 'matchstick', 'digital_clock']"
Nantes_01_2024 037.jpg,"[[0.42389983 0.4886536  0.44229583]
 [0.72196854 0.68384823 0.6094148 ]
 [0.04847357 0.10076394 0.0874805 ]
 [0.22758198 0.28700642 0.26074093]
 [0.87864603 0.83144262 0.79593927]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_01_2024 038.jpg,"[[0.12037574 0.19947798 0.19129704]
 [0.77233312 0.73126959 0.73050913]
 [0.62366627 0.57005186 0.54429716]
 [0.0328882  0.06334104 0.05315171]
 [0.28682647 0.35370577 0.33342147]]","['spotlight', 'theater_curtain', 'digital_clock']"
Nantes_01_2024 043.jpg,"[[0.53909825 0.53293206 0.52600296]
 [0.01977743 0.02524519 0.03093078]
 [0.76231386 0.73545423 0.71928786]
 [0.19740328 0.19436341 0.20107517]
 [0.34935936 0.34789232 0.35586103]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_01_2024 054.jpg,"[[0.07671135 0.10962989 0.10415426]
 [0.55761461 0.56884992 0.56619037]
 [0.18924442 0.23788019 0.23532502]
 [0.33478433 0.3700567  0.36362226]
 [0.85882542 0.85668932 0.85038334]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_01_2024 061.jpg,"[[0.04714067 0.08656307 0.07587911]
 [0.52568073 0.5183189  0.51328115]
 [0.89580358 0.81899014 0.75013034]
 [0.29484448 0.33508672 0.32351218]
 [0.1309962  0.19688346 0.17887396]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_01_2024 062.jpg,"[[0.14449209 0.1923008  0.19841097]
 [0.83308901 0.7773483  0.74238695]
 [0.31827637 0.32908481 0.33479138]
 [0.04322783 0.07285538 0.07040813]
 [0.56744822 0.52544848 0.49735204]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_01_2024 063.jpg,"[[0.2856667  0.30406179 0.31368543]
 [0.81188034 0.75368738 0.71363391]
 [0.04428748 0.06547147 0.06216787]
 [0.1328677  0.17691668 0.1858015 ]
 [0.54165121 0.50470002 0.47797378]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_01_2024 065.jpg,"[[0.74012956 0.69677439 0.66035085]
 [0.14531572 0.18250362 0.1963677 ]
 [0.30037973 0.29843328 0.29730582]
 [0.03424331 0.05919103 0.06662889]
 [0.46830065 0.44600271 0.42416972]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_01_2024 066.jpg,"[[0.32360289 0.3310282  0.33590248]
 [0.02611089 0.05717257 0.04963009]
 [0.80217259 0.77005915 0.74245349]
 [0.12939378 0.18972422 0.19759628]
 [0.51947476 0.50307913 0.48999024]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_01_2024 073.jpg,"[[0.17908678 0.23554595 0.25188775]
 [0.93511918 0.92397145 0.90895682]
 [0.41708807 0.43866474 0.40663427]
 [0.06819758 0.11126755 0.12426665]
 [0.70296207 0.68712071 0.62439217]]","['spotlight', 'digital_clock', 'theater_curtain']"
Nantes_01_2024 077.jpg,"[[0.03606783 0.06469324 0.06128301]
 [0.31196054 0.32532449 0.33409499]
 [0.8128649  0.79438417 0.79438776]
 [0.14492411 0.18076306 0.18471112]
 [0.53962832 0.53266677 0.5386597 ]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_01_2024 083.jpg,"[[0.02208644 0.06448881 0.0643788 ]
 [0.62312628 0.62784125 0.59913626]
 [0.833538   0.8280732  0.81861861]
 [0.12448322 0.19780831 0.20003489]
 [0.38543492 0.39922399 0.3601969 ]]","['spotlight', 'digital_clock', 'theater_curtain']"
Nantes_01_2024 087.jpg,"[[0.78355795 0.7535969  0.7470121 ]
 [0.16639392 0.21828382 0.27703215]
 [0.03242566 0.07147421 0.11331351]
 [0.3744123  0.39657401 0.42906412]
 [0.6539675  0.63194519 0.63467519]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_01_2024 088.jpg,"[[0.76073791 0.72359946 0.71259216]
 [0.04363487 0.05885811 0.07557893]
 [0.30233894 0.3596289  0.41557334]
 [0.6533528  0.61896914 0.60014678]
 [0.14535753 0.20314417 0.25709015]]","['spotlight', 'matchstick', 'digital_clock']"
autoportrait 007.jpg,"[[0.03450272 0.03450272 0.03450272]
 [0.25547617 0.25547617 0.25547617]
 [0.00084946 0.00084946 0.00084946]
 [0.35847497 0.35847497 0.35847497]
 [0.14929429 0.14929429 0.14929429]]","['spotlight', 'digital_clock', 'matchstick']"
autoportrait 012.jpg,"[[0.00045024 0.00045024 0.00045024]
 [0.22043472 0.22043472 0.22043472]
 [0.1128174  0.1128174  0.1128174 ]
 [0.30999389 0.30999389 0.30999389]
 [0.02555673 0.02555673 0.02555673]]","['spotlight', 'matchstick', 'digital_clock']"
naze 017.jpg,"[[0.59989308 0.59989308 0.59989308]
 [0.11390714 0.11390714 0.11390714]
 [0.43090332 0.43090332 0.43090332]
 [0.03079556 0.03079556 0.03079556]
 [0.24615173 0.24615173 0.24615173]]","['spotlight', 'digital_clock', 'matchstick']"
naze 025.jpg,"[[0.02938947 0.02938947 0.02938947]
 [0.56663371 0.56663371 0.56663371]
 [0.37682806 0.37682806 0.37682806]
 [0.73742974 0.73742974 0.73742974]
 [0.19528183 0.19528183 0.19528183]]","['spotlight', 'digital_clock', 'matchstick']"
naze 044.jpg,"[[0.08571748 0.08571748 0.08571748]
 [0.54668963 0.54668963 0.54668963]
 [0.36084875 0.36084875 0.36084875]
 [0.81510996 0.81510996 0.81510996]
 [0.23045482 0.23045482 0.23045482]]","['spotlight', 'digital_clock', 'matchstick']"
naze 049.jpg,"[[0.17242819 0.17242819 0.17242819]
 [0.60437883 0.60437883 0.60437883]
 [0.84936611 0.84936611 0.84936611]
 [0.04597033 0.04597033 0.04597033]
 [0.36374239 0.36374239 0.36374239]]","['spotlight', 'digital_clock', 'matchstick']"
naze 061.jpg,"[[0.75002784 0.75002784 0.75002784]
 [0.26171818 0.26171818 0.26171818]
 [0.08670676 0.08670676 0.08670676]
 [0.5882951  0.5882951  0.5882951 ]
 [0.43651519 0.43651519 0.43651519]]","['spotlight', 'digital_clock', 'theater_curtain']"
test low key 014.jpg,"[[0.00452805 0.00452823 0.00452823]
 [0.19292538 0.19292538 0.19292777]
 [0.06861356 0.06860893 0.06860893]
 [0.13021479 0.13018969 0.13019197]
 [0.25819526 0.25801458 0.2580269 ]]","['spotlight', 'matchstick', 'digital_clock']"
